trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.01, 'e': 0.14499999999999924}",25,15,17.20650489774434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.13999999999999924}",25,3,-14.64515654942346,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.01, 'e': 0.13499999999999923}",35,13,38.11104109975093,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.12999999999999923}",25,0,5.3175567409632425,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.12499999999999922}",20,7,20.93650891359453,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.11999999999999922}",20,0,25.19884266054341,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.11499999999999921}",25,15,11.339416441918528,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.10999999999999921}",20,10,11.097157395624789,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1049999999999992}",20,9,22.210081701558074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.0999999999999992}",20,5,21.777253062544055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.0949999999999992}",25,11,24.161652691125724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.08999999999999919}",20,9,6.001355258499356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.08499999999999919}",20,12,13.118766723531472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
